id,pop ,motu,rep,time,temp,surv,surv_perc,deaths,death_perc
116,29,L,3,0,22,15,1.00,0,0.00
117,29,L,3,24,25,13,0.87,2,0.13
118,29,L,3,48,28,13,0.87,2,0.13
119,29,L,3,72,31,9,0.60,6,0.40
120,29,L,3,96,34,0,0.00,15,1.00
121,31,L,1,0,22,14,1.00,0,0.00
122,31,L,1,24,25,14,1.00,0,0.00
123,31,L,1,48,28,13,0.93,1,0.07
124,31,L,1,72,31,1,0.07,13,0.93
125,31,L,1,96,34,0,0.00,14,1.00
126,31,L,2,0,22,15,1.00,0,0.00
127,31,L,2,24,25,14,0.93,1,0.07
128,31,L,2,48,28,12,0.80,3,0.20
129,31,L,2,72,31,6,0.40,9,0.60
130,31,L,2,96,34,0,0.00,15,1.00
131,31,L,3,0,22,15,1.00,0,0.00
132,31,L,3,24,25,14,0.93,1,0.07
133,31,L,3,48,28,12,0.80,3,0.20
134,31,L,3,72,31,6,0.40,9,0.60
135,31,L,3,96,34,0,0.00,15,1.00
